"lat","severity","street1","street2","image_id","year","date","lng","coord","intersection","day","desc","precip","high","low","month"
"37.769894","INJURY","Townsend St","Division St","281","2012-01-01","2012-01-22","-122.403301","37.769894;-122.403301","Townsend St and Division St","22","Partly Cloudy","0.00","55","47","03"
"37.755769","INJURY","Treat St","22nd St","282","2012-01-01","2012-01-04","-122.4132978","37.755769;-122.4132978","Treat St and 22nd St","04","Clear","0.00","73","45","03"
"37.7834308","INJURY","Turk St","Mason St","283","2012-01-01","2012-01-23","-122.4091512","37.7834308;-122.4091512","Turk St and Mason St","23","Fog","0.00","67","54","08"
"37.7821707","INJURY","Turk St","Polk St","284","2012-01-01","2012-01-19","-122.4190036","37.7821707;-122.4190036","Turk St and Polk St","19","Partly Cloudy","0.00","68","55","04"
"37.7594495","INJURY","Twinpeaks","Graystonete","285","2012-01-01","2012-01-17","-122.447336","37.7594495;-122.447336","Twinpeaks and Graystonete","17","Mostly Cloudy","0.00","61","52","04"
"37.7410921","INJURY","Ulloa St","21st Av","286","2012-01-01","2012-01-12","-122.4777116","37.7410921;-122.4777116","Ulloa St and 21st Av","12","Rain","0.01","61","42","03"
"37.7625788","INJURY","Valencia","Sycamore","287","2012-01-01","2012-01-17","-122.4216856","37.7625788;-122.4216856","Valencia and Sycamore","17","Partly Cloudy","0.00","59","44","02"
"37.7681528","INJURY","Valencia St","14th St","288","2012-01-01","2012-01-15","-122.4222248","37.7681528;-122.4222248","Valencia St and 14th St","15","Partly Cloudy","0.00","52","44","01"
"37.7681528","INJURY","Valencia St","14th St","289","2012-01-01","2012-01-06","-122.4222248","37.7681528;-122.4222248","Valencia St and 14th St","06","Scattered Clouds","0.00","63","50","06"
"37.7597955","INJURY","20th Av","Kirkham St","29","2012-01-01","2012-01-08","-122.4779532","37.7597955;-122.4779532","20th Av and Kirkham St","08","Fog","0.00","63","52","02"
"37.7665431","INJURY","Valencia St","15th St","290","2012-01-01","2012-01-26","-122.4220576","37.7665431;-122.4220576","Valencia St and 15th St","26","Partly Cloudy","0.00","58","45","03"
"37.7632962","INJURY","Valencia St","17th St","291","2012-01-01","2012-01-16","-122.421752","37.7632962;-122.421752","Valencia St and 17th St","16","Rain","0.79","58","48","03"
"37.7584974","INJURY","Valencia St","20th St","292","2012-01-01","2012-01-10","-122.4212866","37.7584974;-122.4212866","Valencia St and 20th St","10","Rain","0.01","62","46","02"
"37.7584974","INJURY","Valencia St","20th St","293","2012-01-01","2012-01-20","-122.4212866","37.7584974;-122.4212866","Valencia St and 20th St","20","Clear","0.00","78","55","04"
"37.7584974","INJURY","Valencia St","20th St","294","2012-01-01","2012-01-26","-122.4212866","37.7584974;-122.4212866","Valencia St and 20th St","26","Partly Cloudy","0.00","70","56","07"
"37.7568988","INJURY","Valencia St","21st St","295","2012-01-01","2012-01-19","-122.4211319","37.7568988;-122.4211319","Valencia St and 21st St","19","Partly Cloudy","0.00","54","42","02"
"37.7489079","INJURY","Valencia St","26th St","296","2012-01-01","2012-01-14","-122.4203495","37.7489079;-122.4203495","Valencia St and 26th St","14","Scattered Clouds","0.00","60","48","04"
"37.7698675","INJURY","Valencia St","Duboce","297","2012-01-01","2012-01-23","-122.4223893","37.7698675;-122.4223893","Valencia St and Duboce","23","Scattered Clouds","0.00","68","47","02"
"37.7625788","INJURY","Valencia St","Sycamore St","298","2012-01-01","2012-01-29","-122.4216856","37.7625788;-122.4216856","Valencia St and Sycamore St","29","Clear","0.00","80","54","08"
"37.775056","INJURY","Vanness","Market St","299","2012-01-01","2012-01-13","-122.419321","37.775056;-122.419321","Vanness and Market St","13","Partly Cloudy","0.00","66","50","05"
"37.7709294","INJURY","12th St","Folsom St","3","2012-01-01","2012-01-06","-122.4150466","37.7709294;-122.4150466","12th St and Folsom St","06","Rain","0.01","54","46","03"
"37.756969","INJURY","21st St","Bartlett St","30","2012-01-01","2012-01-19","-122.420011","37.756969;-122.420011","21st St and Bartlett St","19","Partly Cloudy","0.00","68","55","04"
"37.7866489","INJURY","Vanness","Post St","300","2012-01-01","2012-01-10","-122.4215008","37.7866489;-122.4215008","Vanness and Post St","10","Scattered Clouds","0.00","77","49","05"
"37.7646778","INJURY","Vermont St","17th St","301","2012-01-01","2012-01-01","-122.4045215","37.7646778;-122.4045215","Vermont St and 17th St","01","Rain","0.08","54","43","03"
"37.7845195","INJURY","Webster St","Geary Bl","302","2012-01-01","2012-01-16","-122.4312314","37.7845195;-122.4312314","Webster St and Geary Bl","16","Fog","0.01","66","56","07"
"37.7760469","INJURY","Webster St","Hayes St","303","2012-01-01","2012-01-23","-122.4295518","37.7760469;-122.4295518","Webster St and Hayes St","23","Scattered Clouds","0.00","74","56","07"
"37.7746514","INJURY","Webster St","Hickory St","304","2012-01-01","2012-01-04","-122.4292685","37.7746514;-122.4292685","Webster St and Hickory St","04","Scattered Clouds","0.00","62","42","02"
"37.7807142","INJURY","Webster St","Turk St","305","2012-01-01","2012-01-15","-122.4304707","37.7807142;-122.4304707","Webster St and Turk St","15","Rain","0.08","58","42","02"
"37.7560549","INJURY","York St","22nd St","306","2012-01-01","2012-01-22","-122.4085016","37.7560549;-122.4085016","York St and 22nd St","22","Scattered Clouds","0.00","69","52","04"
"37.7570308","INJURY","21st St","Mission St","31","2012-01-01","2012-01-17","-122.4189302","37.7570308;-122.4189302","21st St and Mission St","17","Mostly Cloudy","0.00","61","52","04"
"37.7552793","INJURY","22nd St","Sanjose Av","32","2012-01-01","2012-01-27","-122.4214569","37.7552793;-122.4214569","22nd St and Sanjose Av","27","Scattered Clouds","0.00","52","39","02"
"37.7526368","INJURY","24th St","Harrison St","33","2012-01-01","2012-01-11","-122.4118888","37.7526368;-122.4118888","24th St and Harrison St","11","Scattered Clouds","0.00","77","52","07"
"37.7523682","INJURY","24th St","Svanness Av","34","2012-01-01","2012-01-10","-122.4162688","37.7523682;-122.4162688","24th St and Svanness Av","10","Partly Cloudy","0.00","59","40","01"
"37.7516319","INJURY","24th St","Vicksburg St","35","2012-01-01","2012-01-31","-122.4285462","37.7516319;-122.4285462","24th St and Vicksburg St","31","Overcast","0.00","62","57","08"
"37.7781536","INJURY","25th Av","Anza St","36","2012-01-01","2012-01-27","-122.4845547","37.7781536;-122.4845547","25th Av and Anza St","27","Partly Cloudy","0.00","75","58","08"
"37.7857403","INJURY","25th Av","Lake St","37","2012-01-01","2012-01-01","-122.4851044","37.7857403;-122.4851044","25th Av and Lake St","01","Rain","0.01","57","48","04"
"37.7855505","PDO","2nd St","Folsom St","38","2012-01-01","2012-01-09","-122.3967177","37.7855505;-122.3967177","2nd St and Folsom St","09","Clear","0.00","68","43","03"
"37.7876012","INJURY","2nd St","Minna St","39","2012-01-01","2012-01-18","-122.3993312","37.7876012;-122.3993312","2nd St and Minna St","18","Partly Cloudy","0.00","68","57","07"
"37.7696315","INJURY","13th St","Harrison St","4","2012-01-01","2012-01-18","-122.413332","37.7696315;-122.413332","13th St and Harrison St","18","Partly Cloudy","0.00","53","35","01"
"37.7835245","INJURY","2nd St","Stillman St","40","2012-01-01","2012-01-20","-122.3941704","37.7835245;-122.3941704","2nd St and Stillman St","20","Partly Cloudy","0.00","71","57","07"
"37.7477995","INJURY","37th Av","Quintara St","41","2012-01-01","2012-01-06","-122.4953671","37.7477995;-122.4953671","37th Av and Quintara St","06","Scattered Clouds","0.00","63","50","06"
"37.7729368","INJURY","3rd St","Missionrockrd","42","2012-01-01","2012-01-17","-122.3898089","37.7729368;-122.3898089","3rd St and Missionrockrd","17","Fog","0.00","65","55","08"
"37.7817709","INJURY","3rd St","Stillman St","43","2012-01-01","2012-01-30","-122.3964107","37.7817709;-122.3964107","3rd St and Stillman St","30","Mostly Cloudy","0.00","64","54","03"
"37.7292336","INJURY","3rd St","Vandyke Av","44","2012-01-01","2012-01-11","-122.3925655","37.7292336;-122.3925655","3rd St and Vandyke Av","11","Rain","0.03","59","49","04"
"37.758803","INJURY","41st Av","Kirkham St","45","2012-01-01","2012-01-15","-122.5004339","37.758803;-122.5004339","41st Av and Kirkham St","15","Partly Cloudy","0.00","52","44","01"
"37.7791925","INJURY","4th Av","Anza St","46","2012-01-01","2012-01-20","-122.462002","37.7791925;-122.462002","4th Av and Anza St","20","Clear","0.00","78","55","04"
"37.7820607","INJURY","4th St","Folsom St","47","2012-01-01","2012-01-16","-122.4011821","37.7820607;-122.4011821","4th St and Folsom St","16","Clear","0.00","50","35","01"
"37.7852826","INJURY","4th St","Stevenson","48","2012-01-01","2012-01-27","-122.4052367","37.7852826;-122.4052367","4th St and Stevenson","27","Partly Cloudy","0.00","64","49","04"
"37.7765851","INJURY","5th St","Brannan St","49","2012-01-01","2012-01-18","-122.398772","37.7765851;-122.398772","5th St and Brannan St","18","Partly Cloudy","0.00","53","35","01"
"37.7696315","INJURY","13th St","Harrison St","5","2012-01-01","2012-01-30","-122.413332","37.7696315;-122.413332","13th St and Harrison St","30","Partly Cloudy","0.01","56","49","01"
"37.7802841","INJURY","5th St","Folsom St","50","2012-01-01","2012-01-06","-122.4034164","37.7802841;-122.4034164","5th St and Folsom St","06","Scattered Clouds","0.00","63","50","06"
"37.779049","INJURY","5th St","Harrison St","51","2012-01-01","2012-01-27","-122.4018621","37.779049;-122.4018621","5th St and Harrison St","27","Partly Cloudy","0.00","64","49","04"
"37.7785241","INJURY","6th St","Folsom St","52","2012-01-01","2012-01-29","-122.4056342","37.7785241;-122.4056342","6th St and Folsom St","29","Fog","0.00","70","54","07"
"37.7622695","INJURY","7th Av","Judah St","53","2012-01-01","2012-01-18","-122.4640639","37.7622695;-122.4640639","7th Av and Judah St","18","Partly Cloudy","0.00","53","35","01"
"37.7730575","INJURY","7th St","Brannan St","54","2012-01-01","2012-01-11","-122.4032376","37.7730575;-122.4032376","7th St and Brannan St","11","Rain","0.03","59","49","04"
"37.7660197","INJURY","8th Av","Lincoln Av","55","2012-01-01","2012-01-16","-122.4653809","37.7660197;-122.4653809","8th Av and Lincoln Av","16","Scattered Clouds","0.00","63","41","02"
"37.7713302","INJURY","8th St","Brannan St","56","2012-01-01","2012-01-29","-122.4054307","37.7713302;-122.4054307","8th St and Brannan St","29","Fog","0.00","68","56","06"
"37.7725615","INJURY","8th St","Bryant St","57","2012-01-01","2012-01-12","-122.4069632","37.7725615;-122.4069632","8th St and Bryant St","12","Scattered Clouds","0.00","67","48","05"
"37.7666908","INJURY","8th St","Irwin St","58","2012-01-01","2012-01-05","-122.3997197","37.7666908;-122.3997197","8th St and Irwin St","05","Scattered Clouds","0.00","63","50","06"
"37.7774649","INJURY","8th St","Mission St","59","2012-01-01","2012-01-19","-122.4131792","37.7774649;-122.4131792","8th St and Mission St","19","Scattered Clouds","0.00","68","49","05"
"37.7697121","INJURY","13th St","Vanness","6","2012-01-01","2012-01-09","-122.4178256","37.7697121;-122.4178256","13th St and Vanness","09","Scattered Clouds","0.00","64","51","05"
"37.7774649","INJURY","8th St","Mission St","60","2012-01-01","2012-01-22","-122.4131792","37.7774649;-122.4131792","8th St and Mission St","22","Scattered Clouds","0.00","71","54","07"
"37.7737855","INJURY","9th St","Folsom St","61","2012-01-01","2012-01-27","-122.4116385","37.7737855;-122.4116385","9th St and Folsom St","27","Partly Cloudy","0.00","75","58","08"
"37.7762211","PDO","9th St","Mission St","62","2012-01-01","2012-01-12","-122.4147406","37.7762211;-122.4147406","9th St and Mission St","12","Rain","0.01","61","42","03"
"37.734785","INJURY","Alemany","Crescent Av","63","2012-01-01","2012-01-10","-122.4108679","37.734785;-122.4108679","Alemany and Crescent Av","10","Rain","0.01","62","46","02"
"37.776179","INJURY","Arguello Bl","Goldengate Av","64","2012-01-01","2012-01-17","-122.4584981","37.776179;-122.4584981","Arguello Bl and Goldengate Av","17","Partly Cloudy","0.00","51","34","01"
"37.7752481","INJURY","Arguello Bl","Mcallister St","65","2012-01-01","2012-01-20","-122.4584281","37.7752481;-122.4584281","Arguello Bl and Mcallister St","20","Clear","0.00","78","55","04"
"37.788405","INJURY","Arguello Bl","Presidiote","66","2012-01-01","2012-01-05","-122.459388","37.788405;-122.459388","Arguello Bl and Presidiote","05","Partly Cloudy","0.00","60","42","02"
"37.7813444","INJURY","Arguello St","Geary Bl","67","2012-01-01","2012-01-30","-122.4588752","37.7813444;-122.4588752","Arguello St and Geary Bl","30","Scattered Clouds","0.00","67","54","08"
"37.773915","INJURY","Ashbury St","Ashburyst80","68","2012-01-01","2012-01-30","-122.436524","37.773915;-122.436524","Ashbury St and Ashburyst80","30","Fog","0.00","71","58","06"
"37.7736412","PDO","Baker St","Fell St","69","2012-01-01","2012-01-24","-122.4409112","37.7736412;-122.4409112","Baker St and Fell St","24","Partly Cloudy","0.00","69","59","04"
"37.7677354","INJURY","14th St","Church St","7","2012-01-01","2012-01-06","-122.4289483","37.7677354;-122.4289483","14th St and Church St","06","Rain","0.07","61","45","02"
"37.7279635","INJURY","Bayshore","Bacon St","70","2012-01-01","2012-01-21","-122.4021642","37.7279635;-122.4021642","Bayshore and Bacon St","21","Scattered Clouds","0.00","82","56","07"
"37.8048154","INJURY","Bay St","Hyde St","71","2012-01-01","2012-01-25","-122.4201958","37.8048154;-122.4201958","Bay St and Hyde St","25","Rain","0.21","57","44","03"
"37.8081151","INJURY","Beach St","Grant Av","72","2012-01-01","2012-01-02","-122.4090985","37.8081151;-122.4090985","Beach St and Grant Av","02","Fog","0.00","70","53","08"
"37.7334852","INJURY","Bosworth St","Cuvier","73","2012-01-01","2012-01-21","-122.4286003","37.7334852;-122.4286003","Bosworth St and Cuvier","21","Clear","0.00","80","56","04"
"37.7818497","INJURY","Brannan St","2nd St","74","2012-01-01","2012-01-03","-122.3920993","37.7818497;-122.3920993","Brannan St and 2nd St","03","Rain","0.03","64","49","04"
"37.778341","INJURY","Brannan St","4th St","75","2012-01-01","2012-01-15","-122.3965525","37.778341;-122.3965525","Brannan St and 4th St","15","Partly Cloudy","0.00","61","51","05"
"37.7987416","INJURY","Broadway","Front St","76","2012-01-01","2012-01-16","-122.3998991","37.7987416;-122.3998991","Broadway and Front St","16","Fog","0.00","70","55","08"
"37.7976479","INJURY","Broadway","Stockton","77","2012-01-01","2012-01-19","-122.4086392","37.7976479;-122.4086392","Broadway and Stockton","19","Partly Cloudy","0.00","68","55","04"
"37.7959845","INJURY","Broadway St","Polk St","78","2012-01-01","2012-01-18","-122.4217921","37.7959845;-122.4217921","Broadway St and Polk St","18","Scattered Clouds","0.00","67","48","05"
"37.7681764","INJURY","Bryant St","Alameda St","79","2012-01-01","2012-01-06","-122.4107552","37.7681764;-122.4107552","Bryant St and Alameda St","06","Rain","0.07","61","45","02"
"37.7680039","INJURY","14th St","Guerrero St","8","2012-01-01","2012-01-16","-122.4244975","37.7680039;-122.4244975","14th St and Guerrero St","16","Rain","0.79","58","48","03"
"37.7734778","INJURY","Buchanan St","Page St","80","2012-01-01","2012-01-18","-122.4273467","37.7734778;-122.4273467","Buchanan St and Page St","18","Fog","0.01","68","56","08"
"37.790976","PDO","Bush St","Montgomery St","81","2012-01-01","2012-01-17","-122.4024281","37.790976;-122.4024281","Bush St and Montgomery St","17","Partly Cloudy","0.00","51","34","01"
"37.774876","INJURY","Cabrillo St","16th Av","82","2012-01-01","2012-01-10","-122.4747175","37.774876;-122.4747175","Cabrillo St and 16th Av","10","Clear","0.00","85","56","06"
"37.7842709","INJURY","California St","17th Av","83","2012-01-01","2012-01-16","-122.4764544","37.7842709;-122.4764544","California St and 17th Av","16","Partly Cloudy","0.00","87","55","06"
"37.7878596","INJURY","California St","Broderick St","84","2012-01-01","2012-01-13","-122.44211","37.7878596;-122.44211","California St and Broderick St","13","Scattered Clouds","0.00","70","53","08"
"37.7555087","INJURY","Capp St","22nd St","85","2012-01-01","2012-01-21","-122.4176652","37.7555087;-122.4176652","Capp St and 22nd St","21","Scattered Clouds","0.00","82","56","07"
"37.7627477","INJURY","Castro St","17th St","86","2012-01-01","2012-01-02","-122.4351586","37.7627477;-122.4351586","Castro St and 17th St","02","Scattered Clouds","0.00","63","40","03"
"37.7482566","INJURY","Cesarchavez","Harrison St","87","2012-01-01","2012-01-07","-122.411481","37.7482566;-122.411481","Cesarchavez and Harrison St","07","Scattered Clouds","0.00","64","41","01"
"37.7383545","INJURY","Chenery St","Charles St","88","2012-01-01","2012-01-22","-122.4261058","37.7383545;-122.4261058","Chenery St and Charles St","22","Partly Cloudy","0.00","55","47","03"
"37.7793668","INJURY","Chinaba","3rd St","89","2012-01-01","2012-01-07","-122.3934134","37.7793668;-122.3934134","Chinaba and 3rd St","07","Fog","0.00","75","53","07"
"37.7679538","INJURY","14th St","Ramona Av","9","2012-01-01","2012-01-18","-122.4253988","37.7679538;-122.4253988","14th St and Ramona Av","18","Partly Cloudy","0.00","57","46","02"
"37.7823567","INJURY","Clement St","18th Av","90","2012-01-01","2012-01-31","-122.4773847","37.7823567;-122.4773847","Clement St and 18th Av","31","Mostly Cloudy","0.01","57","45","01"
"37.7829523","INJURY","Clement St","6th Av","91","2012-01-01","2012-01-08","-122.4644277","37.7829523;-122.4644277","Clement St and 6th Av","08","Scattered Clouds","0.00","65","46","01"
"37.7828017","INJURY","Clement St","9th Av","92","2012-01-01","2012-01-05","-122.4676437","37.7828017;-122.4676437","Clement St and 9th Av","05","Partly Cloudy","0.00","65","55","07"
"37.76556","INJURY","Cole St","Carl St","93","2012-01-01","2012-01-19","-122.44996","37.76556;-122.44996","Cole St and Carl St","19","Rain","0.08","52","38","01"
"37.803794","INJURY","Columbus Av","Chestnut St","94","2012-01-01","2012-01-28","-122.415136","37.803794;-122.415136","Columbus Av and Chestnut St","28","Scattered Clouds","0.00","64","51","04"
"37.797267","INJURY","Columbus Av","Columbus Av","95","2012-01-01","2012-01-31","-122.406098","37.797267;-122.406098","Columbus Av and Columbus Av","31","Scattered Clouds","0.00","68","55","07"
"37.8019526","INJURY","Columbus Av","Greenwich St","96","2012-01-01","2012-01-18","-122.412639","37.8019526;-122.412639","Columbus Av and Greenwich St","18","Fog","0.01","68","56","08"
"37.7397234","INJURY","Cortland Av","Bradford St","97","2012-01-01","2012-01-16","-122.4094832","37.7397234;-122.4094832","Cortland Av and Bradford St","16","Fog","0.00","59","50","05"
"37.7722232","INJURY","Divisadero St","Page St","98","2012-01-01","2012-01-01","-122.4371587","37.7722232;-122.4371587","Divisadero St and Page St","01","Partly Cloudy","0.00","59","49","05"
"37.7694443","PDO","Division St","9th St","99","2012-01-01","2012-01-09","-122.4062321","37.7694443;-122.4062321","Division St and 9th St","09","Clear","0.00","68","43","03"
